dataset	lang	model	size	map.bpe16000	bleu.lower.bpe16000	map.bpe32000	bleu.lower.bpe32000	map.delta	bleu.lower.delta
europarl	de	bm25	50000	0.3501	24.8	0.3519	23.9	0.0017999999999999683	-0.9000000000000021
europarl	de	bm25	25000	0.2729	20.0	0.2501	18.5	-0.022799999999999987	-1.5
europarl	de	bm25	75000	0.3791	26.7	0.3957	27.0	0.016600000000000004	0.3000000000000007
europarl	de	bm25	100000	0.3988	28.9	0.4124	28.4	0.013600000000000001	-0.5
europarl	de	bm25	125000	0.3957	28.8	0.4216	29.8	0.02589999999999998	1.0
europarl	de	bm25	150000	0.4131	29.5	0.435	30.0	0.021899999999999975	0.5
europarl	de	bm25	200000	0.4296	31.2	0.4436	32.0	0.014000000000000012	0.8000000000000007
europarl	de	bm25	175000	0.4189	30.6	0.433	31.0	0.014100000000000001	0.3999999999999986
europarl	cs	bm25	50000	0.3373	23.9	0.3321	23.5	-0.005199999999999982	-0.3999999999999986
europarl	cs	bm25	25000	0.2536	18.7	0.24	17.5	-0.013600000000000001	-1.1999999999999993
europarl	cs	bm25	75000	0.3568	25.8	0.3774	26.5	0.020600000000000007	0.6999999999999993
europarl	cs	bm25	100000	0.3762	27.4	0.3891	28.5	0.012900000000000023	1.1000000000000014
europarl	cs	bm25	125000	0.3914	28.7	0.40399999999999997	29.4	0.012599999999999945	0.6999999999999993
europarl	cs	bm25	150000	0.3947	29.4	0.4069	30.2	0.012199999999999989	0.8000000000000007
europarl	cs	bm25	200000	0.4109	30.7	0.4245	31.5	0.013600000000000001	0.8000000000000007
europarl	cs	bm25	175000	0.4054	31.0	0.4204	31.2	0.015000000000000013	0.1999999999999993
wiki	de	bm25	50000	0.7023	24.8	0.6142	23.9	-0.08810000000000007	-0.9000000000000021
wiki	de	neural	50000	0.0914	24.8	0.0616	23.9	-0.029799999999999993	-0.9000000000000021
wiki	de	bm25	25000	0.6058	20.0	0.3795	18.5	-0.2263	-1.5
wiki	de	neural	25000	0.068	20.0	0.0378	18.5	-0.030200000000000005	-1.5
wiki	de	bm25	75000	0.7324	26.7	0.6890000000000001	27.0	-0.043399999999999994	0.3000000000000007
wiki	de	neural	75000	0.1006	26.7	0.0898	27.0	-0.01079999999999999	0.3000000000000007
wiki	de	bm25	100000	0.7518	28.9	0.7174	28.4	-0.034399999999999986	-0.5
wiki	de	neural	100000	0.105	28.9	0.0957	28.4	-0.009300000000000003	-0.5
wiki	de	bm25	125000	0.7534	28.8	0.7417	29.8	-0.011699999999999933	1.0
wiki	de	neural	125000	0.094	28.8	0.098	29.8	0.0040000000000000036	1.0
wiki	de	bm25	150000	0.774	29.5	0.7471	30.0	-0.026900000000000035	0.5
wiki	de	neural	150000	0.1056	29.5	0.0948	30.0	-0.010800000000000004	0.5
wiki	de	bm25	200000	0.7792	31.2	0.7717	32.0	-0.007499999999999951	0.8000000000000007
wiki	de	neural	200000	0.1084	31.2	0.1071	32.0	-0.0012999999999999956	0.8000000000000007
wiki	de	bm25	175000	0.775	30.6	0.7585	31.0	-0.01650000000000007	0.3999999999999986
wiki	de	neural	175000	0.1066	30.6	0.1049	31.0	-0.001700000000000007	0.3999999999999986
wiki	cs	bm25	50000	0.585	23.9	0.4976	23.5	-0.08739999999999998	-0.3999999999999986
wiki	cs	neural	50000	0.0626	23.9	0.0558	23.5	-0.0068000000000000005	-0.3999999999999986
wiki	cs	bm25	25000	0.4342	18.7	0.2781	17.5	-0.15609999999999996	-1.1999999999999993
wiki	cs	neural	25000	0.0454	18.7	0.0275	17.5	-0.017900000000000003	-1.1999999999999993
wiki	cs	bm25	75000	0.6161	25.8	0.5727	26.5	-0.043399999999999994	0.6999999999999993
wiki	cs	neural	75000	0.07200000000000001	25.8	0.069	26.5	-0.0030000000000000027	0.6999999999999993
wiki	cs	bm25	100000	0.6423	27.4	0.6125	28.5	-0.029799999999999938	1.1000000000000014
wiki	cs	neural	100000	0.0828	27.4	0.0691	28.5	-0.013700000000000004	1.1000000000000014
wiki	cs	bm25	125000	0.6664	28.7	0.6341	29.4	-0.032299999999999995	0.6999999999999993
wiki	cs	neural	125000	0.0856	28.7	0.0779	29.4	-0.0076999999999999985	0.6999999999999993
wiki	cs	bm25	150000	0.6747	29.4	0.6421	30.2	-0.03259999999999996	0.8000000000000007
wiki	cs	neural	150000	0.0909	29.4	0.0794	30.2	-0.011499999999999996	0.8000000000000007
wiki	cs	bm25	200000	0.6917	30.7	0.6608	31.5	-0.030899999999999928	0.8000000000000007
wiki	cs	neural	200000	0.0908	30.7	0.0817	31.5	-0.00910000000000001	0.8000000000000007
wiki	cs	bm25	175000	0.6988	31.0	0.6614	31.2	-0.03739999999999999	0.1999999999999993
wiki	cs	neural	175000	0.0899	31.0	0.0834	31.2	-0.006499999999999992	0.1999999999999993
